x,y
30,5
30,7
30,9
31,9
33,8
35,7
38,8
40,10
42,9
44,10
45,10
47,11
49,12
50,12
52,12
53,13
56,14
56,16
56,19
55,21
56,23
56,25
56,26
57,27
59,25
60,26
61,28
63,29
65,31
67,30
70,29
73,29
75,28
76,31
76,32
76,34
76,35
76,37
76,38
76,40
76,42
75,42
74,44
72,42
71,42
71,45
71,46
73,48
74,51
73,52
73,54
74,56
74,58
76,59
78,60
78,62
77,64
75,63
75,65
75,66
75,68
76,71
75,73
75,76
76,79
76,80
78,80
81,79
83,81
83,83
83,85
84,87
84,89
86,91
88,93
89,91
90,89
92,88
94,88
96,89
94,91
96,93
95,95
