x,y
10,10
13,11
14,11
16,10
14,8
15,6
16,5
18,3
21,5
23,7
24,6
26,4
28,6
28,7
27,9
27,12
28,14
28,16
27,17
26,18
25,20
28,20
29,21
31,22
33,22
34,21
36,20
37,19
38,18
40,16
42,16
44,16
45,18
46,19
46,20
46,22
48,22
50,24
51,25
51,27
52,28
54,29
55,30
56,30
58,31
60,29
61,29
64,29
65,29
67,28
70,28
72,26
75,28
75,31
74,34
75,35
76,36
77,34
78,35
80,34
81,35
83,37
83,40
82,43
79,44
77,46
78,48
79,49
79,51
80,53
80,55
81,57
80,58
79,60
80,62
80,64
80,66
79,68
78,69
77,69
75,70
74,72
75,75
78,77
79,78
81,80
82,82
83,82
85,83
85,81
87,80
89,81
90,81
91,80
92,80
92,82
93,82
93,84
94,85
95,87
95,88
93,90
91,91
91,93
92,95
95,95
